USD.BM.263,control,122061.697,630016.513,1131.699,HRMS:0.055,VRMS:0.087,STATUS:FIXED,SATS:9,AGE:2.0,PDOP:1.841,HDOP:0.989,VDOP:1.553,TDOP:1.538,GDOP:2.399,NRMS:0.042,ERMS:0.035,DATE:08-26-2025,TIME:09:10:07
USD.BM.251,control,118258.700,632956.100,1161.628,HRMS:0.278,VRMS:0.314,STATUS:FIXED,SATS:6,AGE:0.0,PDOP:1.604,HDOP:0.811,VDOP:1.384,TDOP:1.432,GDOP:2.150,NRMS:0.223,ERMS:0.166,DATE:08-26-2025,TIME:10:21:47
tp,control,118259.349,632959.116,1161.056,HRMS:0.025,VRMS:0.047,STATUS:FIXED,SATS:14,AGE:1.0,PDOP:1.273,HDOP:0.665,VDOP:1.086,TDOP:0.978,GDOP:1.606,NRMS:0.021,ERMS:0.013,DATE:08-26-2025,TIME:10:36:01
1,rd.cl,113145.306,630948.370,1144.214,HRMS:0.017,VRMS:0.030,STATUS:FIXED,SATS:18,AGE:1.0,PDOP:1.195,HDOP:0.598,VDOP:1.034,TDOP:0.890,GDOP:1.490,NRMS:0.011,ERMS:0.012,DATE:08-26-2025,TIME:11:00:57
2,rd.cl,113137.744,630947.693,1144.283,HRMS:0.017,VRMS:0.029,STATUS:FIXED,SATS:18,AGE:0.0,PDOP:1.196,HDOP:0.598,VDOP:1.036,TDOP:0.891,GDOP:1.492,NRMS:0.011,ERMS:0.012,DATE:08-26-2025,TIME:11:01:24
3,edge,113124.096,630959.297,1144.800,HRMS:0.016,VRMS:0.028,STATUS:FIXED,SATS:18,AGE:0.0,PDOP:1.240,HDOP:0.618,VDOP:1.074,TDOP:0.955,GDOP:1.565,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:02:10
4,T,113125.352,630959.468,1144.533,HRMS:0.016,VRMS:0.028,STATUS:FIXED,SATS:18,AGE:1.0,PDOP:1.200,HDOP:0.598,VDOP:1.040,TDOP:0.894,GDOP:1.496,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:02:28
5,rd.cl,113132.946,630961.570,1144.688,HRMS:0.015,VRMS:0.028,STATUS:FIXED,SATS:18,AGE:1.0,PDOP:1.201,HDOP:0.598,VDOP:1.041,TDOP:0.895,GDOP:1.497,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:02:43
6,rd.cl,113137.977,630963.076,1144.533,HRMS:0.016,VRMS:0.028,STATUS:FIXED,SATS:18,AGE:0.0,PDOP:1.201,HDOP:0.598,VDOP:1.042,TDOP:0.895,GDOP:1.498,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:02:51
7,T,113139.568,630963.605,1144.038,HRMS:0.015,VRMS:0.028,STATUS:FIXED,SATS:18,AGE:0.0,PDOP:1.201,HDOP:0.598,VDOP:1.042,TDOP:0.896,GDOP:1.498,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:02:57
8,edge,113140.485,630963.990,1144.535,HRMS:0.016,VRMS:0.028,STATUS:FIXED,SATS:18,AGE:0.0,PDOP:1.202,HDOP:0.598,VDOP:1.042,TDOP:0.896,GDOP:1.499,NRMS:0.011,ERMS:0.012,DATE:08-26-2025,TIME:11:03:04
9,edge,113136.419,630983.458,1145.105,HRMS:0.016,VRMS:0.028,STATUS:FIXED,SATS:18,AGE:1.0,PDOP:1.204,HDOP:0.598,VDOP:1.044,TDOP:0.897,GDOP:1.501,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:03:36
10,T,113134.580,630983.210,1144.491,HRMS:0.016,VRMS:0.028,STATUS:FIXED,SATS:18,AGE:0.0,PDOP:1.204,HDOP:0.598,VDOP:1.045,TDOP:0.898,GDOP:1.502,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:03:46
11,edge,113133.261,630982.925,1144.884,HRMS:0.015,VRMS:0.028,STATUS:FIXED,SATS:18,AGE:1.0,PDOP:1.205,HDOP:0.598,VDOP:1.046,TDOP:0.898,GDOP:1.503,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:03:54
12,rd.cl,113130.767,630982.849,1145.131,HRMS:0.016,VRMS:0.028,STATUS:FIXED,SATS:18,AGE:0.0,PDOP:1.205,HDOP:0.598,VDOP:1.046,TDOP:0.898,GDOP:1.503,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:03:59
13,edge,113128.083,630982.892,1144.943,HRMS:0.016,VRMS:0.028,STATUS:FIXED,SATS:18,AGE:1.0,PDOP:1.205,HDOP:0.598,VDOP:1.047,TDOP:0.899,GDOP:1.504,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:04:11
14,T,113126.489,630982.797,1144.708,HRMS:0.015,VRMS:0.028,STATUS:FIXED,SATS:18,AGE:1.0,PDOP:1.206,HDOP:0.598,VDOP:1.047,TDOP:0.899,GDOP:1.504,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:04:15
15,edge,113125.138,630982.849,1144.877,HRMS:0.016,VRMS:0.028,STATUS:FIXED,SATS:18,AGE:0.0,PDOP:1.206,HDOP:0.598,VDOP:1.047,TDOP:0.899,GDOP:1.504,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:04:21
